pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
-78.4,33.4,3180.7,17.8,26.2,3185.9,-175.4,24.6,3170.8,-73.4,-244.9,3170.6,-10.6,420.8,3166.7,-135.0,417.7,3177.1,-77.7,-515.6,3170.5,-12.6,770.8,3250.2,-136.9,767.0,3263.9,20.0,857.9,3077.4,-156.4,857.1,3087.2,74.1,853.1,3090.8,-209.8,859.0,3120.7,-22.7,837.3,3300.3,-126.8,823.5,3309.8,-85.8,-653.9,3071.0,-55.2,-688.4,3105.5,-118.7,-678.3,3105.1,-20.1,-659.8,3162.6,-146.7,-650.8,3164.9,88.6,-457.7,3202.6,-237.8,-443.4,3151.9,104.9,-201.5,3211.8,-274.3,-171.9,3162.8,112.7,18.3,3124.5,-272.0,39.5,3069.4,112.8,95.5,3103.4,-268.8,118.4,3052.6,66.4,140.0,3080.7,-214.7,156.2,3033.1,98.0,86.8,3073.8,-243.0,105.3,3023.5,75.3,103.0,3066.6,-219.7,121.3,3019.6
-79.0,12.1,3209.2,18.7,-0.6,3213.8,-177.0,2.8,3199.6,-74.4,-259.6,3199.7,-7.5,428.5,3195.0,-137.0,425.6,3205.4,-78.3,-522.9,3199.8,-12.8,777.4,3278.0,-138.3,774.3,3291.2,19.1,864.5,3107.3,-159.4,865.2,3117.5,72.7,860.3,3120.6,-211.9,866.5,3149.8,-23.3,843.8,3326.8,-127.9,831.2,3335.7,-86.0,-660.1,3101.5,-51.7,-694.7,3134.8,-119.9,-685.6,3135.5,-19.8,-665.1,3191.6,-148.2,-657.3,3195.2,87.7,-465.9,3231.4,-239.3,-454.5,3184.3,108.1,-203.2,3238.7,-277.0,-177.3,3193.2,113.8,18.9,3149.5,-274.7,39.9,3101.2,115.2,97.8,3128.0,-271.7,119.7,3085.3,68.6,142.6,3106.4,-217.4,159.1,3065.3,98.7,88.3,3098.8,-245.7,107.0,3056.1,74.3,104.7,3092.2,-221.5,123.9,3051.8
-79.2,-2.6,3220.8,20.0,-17.9,3224.7,-177.6,-11.9,3211.5,-75.0,-270.4,3211.8,-3.7,434.4,3206.3,-139.0,431.5,3217.2,-78.5,-527.8,3212.0,-12.9,780.1,3288.6,-138.9,777.8,3301.4,17.9,866.4,3120.8,-162.3,868.6,3131.5,70.6,862.9,3133.9,-213.0,869.3,3162.4,-23.7,845.8,3335.9,-128.3,835.0,3344.3,-85.3,-662.6,3115.3,-47.4,-697.1,3147.2,-120.4,-689.5,3149.0,-19.3,-666.6,3203.7,-149.0,-660.4,3208.5,85.7,-472.1,3243.0,-239.3,-462.9,3199.6,111.2,-203.8,3248.6,-278.2,-182.3,3206.6,114.4,19.4,3158.2,-276.0,40.1,3116.4,117.3,99.8,3136.5,-273.1,120.4,3101.6,71.1,144.9,3115.9,-219.4,161.4,3081.0,98.8,89.6,3107.8,-247.1,108.2,3072.5,72.4,106.3,3101.8,-222.0,126.0,3067.7
-79.0,-9.7,3218.3,20.8,-27.4,3221.6,-177.4,-20.9,3209.4,-75.5,-277.0,3210.0,-0.4,436.8,3204.1,-140.3,433.7,3214.9,-78.3,-530.7,3210.4,-13.0,779.5,3284.8,-139.0,777.9,3296.9,16.8,864.2,3120.4,-164.1,868.0,3131.3,68.6,861.6,3133.2,-213.2,868.0,3160.8,-24.0,844.2,3330.4,-128.2,835.4,3338.1,-84.5,-662.2,3115.5,-44.1,-696.4,3146.1,-120.4,-690.3,3148.8,-18.6,-665.2,3201.9,-149.0,-660.6,3207.8,83.3,-475.1,3240.5,-238.0,-467.8,3201.0,113.5,-203.5,3244.4,-278.1,-185.6,3206.1,114.6,19.9,3153.5,-276.1,40.1,3118.1,119.1,101.2,3131.5,-273.3,120.7,3104.4,72.5,146.3,3112.1,-220.7,163.2,3083.5,98.6,90.3,3103.4,-247.6,109.3,3075.4,70.3,107.0,3097.8,-221.8,127.8,3070.3
-78.9,-13.8,3215.6,21.3,-31.7,3218.3,-177.3,-25.6,3207.1,-76.0,-280.4,3207.8,1.6,437.6,3201.6,-141.4,434.4,3212.4,-78.2,-532.6,3208.4,-13.0,778.7,3280.5,-139.2,778.1,3292.2,15.8,862.3,3119.3,-165.4,867.2,3130.5,66.9,860.2,3131.9,-213.3,866.7,3158.6,-24.3,842.7,3324.5,-128.3,835.6,3331.7,-83.8,-661.6,3115.2,-42.1,-695.6,3144.5,-120.5,-690.7,3148.1,-18.1,-663.8,3199.8,-149.0,-660.6,3206.7,81.3,-477.0,3237.7,-237.2,-470.3,3201.7,115.1,-203.2,3240.0,-278.0,-187.6,3205.0,114.9,20.1,3148.7,-276.1,40.3,3119.0,120.6,102.1,3126.5,-273.5,121.1,3106.3,73.6,147.1,3108.0,-221.6,165.0,3085.0,98.4,90.7,3098.9,-247.8,110.5,3077.4,68.8,107.5,3093.7,-221.3,129.5,3071.9
