pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
-41.3,11.8,3016.0,67.0,1.7,3013.1,-146.2,6.8,3014.2,-35.7,-264.0,3002.5,51.2,419.6,2982.0,-87.6,425.8,3010.3,-31.4,-524.9,2997.5,40.8,784.6,3103.1,-73.0,794.9,3110.9,42.4,870.6,2948.9,-73.4,870.6,2945.6,105.6,865.5,2964.1,-133.5,879.6,2974.0,36.4,841.6,3152.6,-64.2,853.4,3156.2,-41.6,-654.4,2880.9,-4.4,-686.6,2910.6,-74.9,-687.2,2921.3,34.3,-662.6,2974.0,-108.7,-664.1,2984.2,138.0,-469.8,3015.3,-205.1,-460.3,3008.2,183.4,-237.0,2990.1,-319.4,-287.9,3068.4,147.2,-142.0,2891.4,-236.3,-145.4,2929.9,131.8,-108.4,2884.5,-217.4,-93.9,2904.2,90.8,-100.5,2854.1,-165.1,-60.2,2887.3,115.6,-148.9,2855.5,-191.0,-109.2,2889.7,98.3,-135.6,2852.4,-170.6,-91.0,2885.0
-36.2,-5.7,3016.4,70.7,-18.9,3013.4,-141.0,-13.0,3014.6,-33.8,-271.8,3003.6,54.5,420.6,2982.6,-88.0,426.3,3009.6,-31.0,-527.3,2998.6,42.9,784.3,3101.1,-72.3,794.0,3108.3,42.9,863.6,2948.2,-73.4,862.0,2945.3,104.8,860.4,2963.4,-130.1,870.7,2972.8,37.8,840.7,3148.9,-63.6,851.7,3152.5,-37.9,-654.7,2884.5,0.1,-687.3,2913.4,-73.8,-687.8,2923.5,34.4,-663.3,2976.0,-107.9,-665.5,2985.9,136.7,-475.4,3017.0,-201.3,-463.6,3010.0,182.8,-233.4,2994.1,-269.4,-236.0,3065.1,167.9,-46.9,2894.2,-235.5,-2.9,2933.7,167.6,25.9,2885.7,-219.0,73.0,2911.1,123.3,65.1,2857.1,-171.7,118.1,2894.3,148.1,14.1,2856.8,-195.9,68.4,2894.9,124.4,29.5,2854.1,-174.0,88.5,2890.2
-31.1,-18.2,3004.9,74.1,-32.5,3001.9,-134.8,-26.7,3003.2,-31.4,-277.7,2992.7,58.0,420.7,2971.6,-88.3,425.5,2996.9,-30.4,-527.8,2987.6,45.5,781.0,3087.6,-71.1,790.1,3093.8,43.7,854.1,2936.3,-73.0,851.1,2933.6,103.8,852.3,2951.6,-125.7,859.5,2959.9,39.5,836.8,3133.6,-62.7,846.8,3136.9,-33.9,-652.7,2876.5,4.6,-685.4,2904.4,-72.2,-685.7,2914.1,34.3,-661.7,2966.0,-106.4,-664.4,2975.7,134.5,-478.7,3006.4,-196.3,-465.5,2999.6,181.2,-225.1,2985.5,-243.2,-210.2,3049.9,179.3,-6.8,2885.0,-233.0,36.8,2925.7,183.9,71.5,2875.4,-219.9,114.9,2906.1,139.1,114.6,2848.5,-176.7,161.5,2889.6,161.6,63.3,2846.8,-199.5,110.9,2888.5,136.6,79.4,2844.4,-176.5,131.3,2883.6
-27.4,-24.9,3006.4,77.4,-40.5,3003.4,-131.4,-34.5,3004.8,-29.5,-282.9,2995.0,61.0,422.1,2973.5,-89.0,426.2,2997.5,-29.8,-530.7,2990.2,47.7,781.4,3087.2,-70.2,789.7,3092.6,44.5,850.7,2937.0,-73.0,847.1,2934.5,102.7,849.7,2952.5,-122.6,855.1,2959.8,41.2,836.6,3131.7,-62.0,845.6,3134.7,-30.8,-653.8,2881.5,8.0,-686.8,2908.6,-71.0,-686.9,2918.0,34.3,-662.9,2969.6,-105.2,-666.0,2979.1,133.0,-483.2,3009.5,-193.3,-468.9,3002.9,180.3,-222.9,2990.6,-234.9,-202.1,3048.4,187.8,-5.5,2889.4,-232.2,42.3,2930.3,194.8,70.8,2878.3,-222.0,119.6,2913.3,150.4,112.4,2852.8,-182.4,164.1,2896.8,173.2,61.7,2849.9,-203.8,115.1,2894.3,146.8,77.7,2847.7,-179.8,135.0,2889.3
