pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
-69.7,15.0,4618.2,3.9,13.2,4666.6,-136.4,4.1,4569.0,-68.9,-254.3,4609.8,28.8,392.4,4646.7,-142.4,416.9,4577.2,-82.5,-519.9,4599.3,12.3,776.7,4723.7,-171.3,804.6,4621.1,131.1,860.6,4604.9,-83.2,886.9,4465.4,164.8,855.9,4646.0,-143.8,887.4,4458.7,-14.2,842.5,4766.9,-185.8,867.0,4667.9,5.6,-640.8,4525.8,1.3,-673.9,4567.5,-41.4,-672.3,4527.6,-29.5,-658.0,4627.7,-113.8,-656.4,4552.0,17.6,-470.2,4704.0,-188.9,-461.3,4509.6,61.7,-223.0,4746.4,-232.1,-214.4,4499.0,124.4,-9.6,4625.8,-106.5,-26.0,4431.6,130.2,59.1,4596.5,-67.1,27.9,4408.3,98.3,82.8,4546.7,-11.6,44.5,4428.7,129.3,33.6,4566.6,-43.2,-1.4,4416.5,111.1,41.2,4547.0,-18.7,2.5,4424.4
-67.7,2.6,4647.4,11.3,-5.1,4695.3,-137.2,-12.3,4598.4,-67.2,-265.2,4640.5,29.8,402.7,4674.9,-143.2,421.5,4603.2,-79.0,-526.1,4633.0,11.4,780.9,4746.9,-172.5,808.7,4644.4,131.9,865.3,4630.1,-84.0,891.4,4489.8,164.8,860.6,4671.7,-144.4,892.0,4482.2,-15.5,846.8,4788.3,-186.6,871.0,4688.4,5.5,-647.3,4561.2,1.4,-680.0,4602.7,-42.2,-680.3,4563.2,-32.0,-662.8,4662.0,-115.5,-662.0,4587.9,19.5,-474.4,4736.9,-190.3,-467.6,4544.9,74.0,-223.9,4774.8,-232.7,-215.5,4528.8,126.6,-9.7,4651.3,-98.6,-21.6,4461.8,131.8,60.2,4621.1,-60.2,35.9,4438.0,98.9,83.7,4573.2,-6.9,51.5,4457.0,129.5,34.4,4591.9,-34.7,6.7,4447.1,110.2,41.8,4572.9,-11.1,9.9,4454.6
-64.6,-9.4,4662.4,19.0,-20.5,4709.8,-137.4,-27.0,4613.5,-64.4,-275.6,4656.9,31.0,412.8,4689.3,-143.7,425.4,4615.8,-74.0,-531.3,4652.2,10.0,783.2,4756.5,-173.4,810.4,4654.3,132.4,867.6,4642.4,-84.7,893.2,4501.2,163.7,862.8,4684.2,-144.6,894.1,4492.8,-17.5,849.1,4795.8,-187.0,872.5,4695.2,5.4,-652.2,4582.2,1.6,-684.5,4623.5,-42.9,-686.9,4584.3,-34.5,-665.5,4681.8,-117.0,-665.8,4609.2,22.3,-477.4,4755.3,-190.8,-473.1,4565.6,85.8,-223.5,4788.9,-230.5,-215.6,4544.1,128.7,-9.7,4663.0,-88.1,-14.5,4478.1,133.1,61.8,4631.8,-51.1,46.7,4453.7,99.1,84.9,4585.7,-0.3,61.9,4471.4,128.8,35.7,4603.5,-24.5,18.2,4463.4,108.0,42.6,4585.2,-2.0,20.8,4470.5
-61.7,-14.9,4654.6,23.6,-28.4,4701.4,-136.7,-34.1,4605.9,-61.6,-281.1,4650.0,32.0,418.7,4681.2,-143.4,427.0,4606.3,-69.9,-533.7,4647.7,8.5,781.7,4744.2,-173.5,808.3,4642.2,132.2,865.8,4632.9,-84.9,890.8,4491.3,161.7,861.0,4674.9,-144.0,892.0,4482.2,-19.4,847.4,4781.4,-186.4,870.0,4680.2,5.2,-654.6,4579.7,1.7,-686.0,4620.7,-43.8,-690.2,4581.8,-36.7,-664.9,4677.8,-118.3,-666.3,4606.9,24.4,-478.1,4749.7,-190.3,-475.4,4562.9,92.6,-222.0,4779.6,-226.4,-213.8,4536.6,129.7,-9.7,4652.7,-77.4,-5.6,4472.5,133.7,63.0,4620.8,-42.5,57.7,4447.9,98.9,86.2,4576.8,5.9,74.1,4464.9,127.2,37.3,4593.8,-15.0,30.9,4458.0,105.2,44.0,4576.2,6.4,34.6,4464.8
-59.5,-18.5,4646.9,26.7,-33.0,4693.2,-136.0,-38.4,4598.3,-59.4,-284.5,4643.0,32.9,421.4,4673.3,-143.1,427.7,4597.2,-66.9,-535.5,4643.0,7.1,780.3,4732.4,-173.5,806.3,4630.9,132.1,864.0,4623.6,-85.1,888.4,4481.8,159.9,859.2,4665.8,-143.4,889.9,4472.1,-21.1,845.7,4767.8,-185.9,867.6,4666.3,5.0,-656.4,4576.7,1.9,-687.2,4617.3,-44.6,-692.5,4578.9,-38.5,-664.2,4673.5,-119.4,-666.7,4604.0,26.2,-478.7,4744.0,-189.8,-476.9,4559.7,96.6,-220.7,4770.5,-223.2,-212.0,4529.2,130.4,-9.6,4642.7,-71.1,0.3,4466.5,134.2,64.1,4610.2,-37.1,64.2,4441.8,98.7,87.5,4568.0,10.1,81.4,4458.2,125.6,38.7,4584.2,-9.2,38.2,4452.3,103.0,45.3,4567.2,11.6,42.5,4458.9
-57.8,-22.0,4645.3,29.4,-36.2,4691.0,-135.8,-41.6,4597.2,-57.9,-287.0,4642.6,33.6,423.5,4671.0,-143.1,428.4,4593.7,-65.1,-537.0,4644.8,6.2,779.9,4726.0,-173.8,805.4,4624.9,132.0,863.2,4619.3,-85.5,887.1,4477.3,158.6,858.3,4661.8,-143.0,888.9,4466.8,-22.0,845.2,4759.9,-185.6,866.5,4657.9,4.7,-658.1,4580.1,2.0,-688.7,4620.5,-45.4,-694.5,4582.6,-40.2,-664.4,4675.7,-120.6,-667.8,4607.8,27.8,-479.8,4744.6,-189.8,-478.8,4563.2,99.1,-219.9,4767.4,-222.7,-211.5,4528.5,131.1,-9.6,4637.9,-70.1,0.3,4466.7,134.7,65.0,4604.9,-36.0,64.0,4441.4,98.5,88.2,4564.4,10.7,81.0,4456.6,124.4,39.5,4579.7,-8.5,37.7,4452.3,101.2,45.9,4563.3,12.4,41.5,4458.5
-56.3,-23.8,4640.1,31.1,-37.2,4685.2,-135.2,-42.8,4592.2,-56.5,-288.2,4638.3,34.2,424.2,4664.8,-143.0,429.0,4587.0,-63.6,-537.9,4642.4,5.6,779.1,4716.5,-173.8,804.0,4616.4,131.9,861.8,4611.8,-85.6,885.2,4470.1,157.6,856.9,4654.4,-142.5,887.3,4459.1,-22.7,844.3,4749.0,-185.2,865.0,4647.4,4.5,-658.8,4579.1,2.1,-689.3,4619.3,-45.9,-695.5,4581.6,-41.7,-664.1,4673.6,-121.3,-668.3,4607.0,28.6,-480.5,4741.5,-189.4,-480.0,4562.0,100.8,-219.2,4761.4,-221.4,-210.9,4523.8,131.7,-9.6,4630.8,-69.5,0.0,4463.4,135.1,65.7,4597.5,-35.7,62.6,4438.2,98.2,88.9,4558.5,10.4,79.4,4452.3,123.3,40.4,4572.9,-8.3,36.7,4449.4,99.7,46.6,4557.1,12.2,40.2,4455.2
-55.5,-24.0,4632.5,31.7,-37.6,4677.0,-134.7,-42.9,4584.9,-55.6,-288.4,4631.4,34.5,424.1,4656.6,-142.8,429.5,4578.7,-62.6,-538.0,4637.1,5.0,777.6,4705.8,-173.7,802.3,4606.8,131.6,860.1,4602.7,-85.9,883.1,4461.7,156.5,855.1,4645.3,-142.1,885.5,4450.4,-23.1,842.5,4737.2,-184.7,863.0,4636.1,4.3,-659.3,4574.9,2.2,-689.5,4614.8,-46.6,-695.9,4577.4,-42.3,-663.3,4668.4,-122.0,-668.1,4603.0,29.6,-480.6,4735.4,-188.9,-480.3,4557.8,101.7,-218.5,4752.6,-219.4,-209.7,4516.4,131.9,-9.5,4621.2,-66.6,2.7,4457.7,135.2,66.6,4587.9,-33.3,64.4,4432.3,97.9,89.7,4550.4,11.8,81.1,4445.9,122.3,41.3,4563.9,-6.2,39.0,4443.8,98.4,47.6,4548.8,13.7,42.5,4449.4
-54.7,-25.7,4636.7,32.9,-38.4,4680.9,-134.5,-44.1,4589.2,-55.1,-289.6,4636.5,35.0,424.8,4659.9,-143.0,430.1,4581.6,-62.1,-539.1,4643.7,4.4,778.1,4706.8,-174.1,802.6,4608.5,131.7,860.4,4604.9,-86.3,883.2,4464.0,156.0,855.4,4647.8,-142.0,885.9,4452.3,-23.7,842.9,4737.3,-184.7,863.3,4636.3,4.0,-660.7,4582.2,2.2,-691.0,4622.1,-47.2,-697.4,4584.9,-43.5,-664.2,4675.2,-123.0,-669.5,4610.6,29.9,-482.1,4741.6,-188.8,-481.7,4564.9,102.2,-218.8,4756.7,-218.8,-210.0,4520.9,132.3,-9.4,4624.7,-69.2,0.9,4463.0,135.5,66.9,4591.3,-35.6,61.9,4438.3,98.0,89.8,4554.8,10.1,78.3,4451.0,121.9,42.0,4567.8,-8.7,36.2,4450.2,98.3,48.2,4553.0,11.6,39.6,4455.6
-54.5,-25.3,4629.7,32.4,-38.5,4673.8,-134.1,-43.6,4582.1,-54.9,-289.6,4629.8,35.2,424.4,4652.6,-142.9,429.6,4573.9,-61.8,-538.9,4638.0,4.0,776.9,4697.9,-174.0,801.2,4599.8,131.6,859.0,4597.0,-86.4,881.5,4456.3,155.5,853.9,4639.9,-141.7,884.3,4444.2,-24.2,841.5,4727.7,-184.4,861.8,4626.5,3.8,-660.7,4577.4,2.2,-691.0,4617.1,-47.7,-697.3,4580.0,-44.5,-663.4,4669.8,-123.6,-669.1,4605.7,30.0,-482.2,4735.8,-188.3,-481.3,4559.6,101.5,-218.6,4749.5,-216.5,-208.8,4513.1,132.5,-9.2,4616.9,-67.2,3.5,4456.4,135.6,67.3,4583.3,-34.0,64.4,4432.0,97.9,90.2,4547.9,11.0,80.8,4444.3,121.5,42.6,4560.3,-7.2,39.2,4443.8,98.2,48.8,4545.8,12.8,43.0,4449.1
