pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
64.7,474.7,6473.9,151.3,451.3,6542.5,-27.4,460.5,6403.1,66.8,247.1,6473.7,360.7,752.4,6450.2,181.4,689.7,6143.7,87.0,-1.7,6442.1,318.3,1162.1,6466.5,106.4,1157.5,6201.0,398.1,1279.0,6378.5,248.4,1320.5,6155.9,469.8,1262.0,6398.7,194.2,1326.3,6126.3,284.9,1214.1,6496.3,68.4,1202.6,6236.4,150.9,-127.6,6349.2,174.7,-170.4,6391.6,90.2,-175.7,6353.2,142.4,-143.5,6457.9,10.2,-156.1,6402.1,185.6,54.5,6584.0,-73.8,20.4,6379.0,210.5,335.9,6704.5,-176.2,301.7,6340.4,254.0,449.1,6660.7,-210.3,541.6,6258.4,282.7,486.2,6648.4,-255.2,639.6,6233.9,286.8,489.6,6587.1,-234.1,694.1,6239.7,277.9,463.2,6624.9,-219.6,628.1,6221.8,270.5,469.8,6600.8,-193.1,655.1,6227.8
65.4,473.6,6492.6,154.4,452.3,6559.3,-27.2,461.7,6424.1,68.1,246.3,6489.8,356.3,746.0,6475.1,180.4,692.0,6164.8,88.4,-1.6,6456.6,214.4,1166.2,6491.1,106.5,1161.4,6224.1,301.1,1287.9,6402.5,248.2,1320.4,6176.1,331.8,1272.8,6425.5,194.6,1325.1,6147.3,172.3,1218.3,6519.7,68.3,1206.9,6259.3,151.7,-128.8,6364.8,176.0,-171.4,6406.2,90.9,-176.3,6368.8,143.8,-144.4,6472.1,11.0,-156.4,6418.4,191.9,53.4,6595.0,-74.1,21.3,6397.5,213.0,332.8,6715.0,-176.0,303.2,6366.4,256.2,449.6,6674.7,-211.3,545.9,6285.0,283.6,487.3,6664.4,-255.6,642.5,6262.1,287.2,491.0,6604.8,-232.3,697.6,6268.3,278.8,464.2,6639.8,-219.6,631.4,6249.9,271.1,470.9,6616.9,-192.4,658.6,6255.9
66.4,471.4,6507.8,158.5,452.9,6572.7,-26.8,462.4,6441.4,70.1,244.6,6502.0,353.7,740.5,6496.7,178.8,694.2,6183.9,90.1,-1.5,6466.9,167.0,1169.3,6512.5,106.6,1163.9,6244.9,253.8,1298.9,6423.0,247.3,1318.7,6193.8,278.1,1286.5,6448.6,194.5,1321.4,6166.0,122.1,1221.7,6540.0,67.9,1210.6,6280.1,152.3,-130.1,6376.1,177.4,-172.5,6416.5,91.6,-176.9,6380.1,145.8,-145.4,6482.1,12.1,-156.7,6430.5,198.6,51.5,6602.0,-74.3,22.6,6411.7,217.2,327.4,6721.5,-175.5,304.6,6387.7,260.4,449.7,6684.9,-212.1,550.4,6307.1,285.0,488.3,6677.2,-255.5,644.9,6286.1,287.9,492.9,6619.5,-229.9,700.4,6292.6,280.5,465.4,6651.4,-219.4,634.4,6273.7,272.0,472.1,6629.6,-191.4,661.6,6279.7
67.3,468.8,6512.4,162.5,452.8,6575.2,-26.6,462.4,6448.3,71.9,242.7,6503.9,350.8,737.4,6506.9,177.1,695.2,6192.5,91.7,-1.3,6467.2,144.8,1170.0,6523.0,106.5,1164.9,6254.8,233.8,1303.8,6433.1,246.6,1316.2,6200.7,256.9,1293.3,6461.1,194.5,1317.9,6173.6,101.0,1222.5,6549.5,67.5,1212.3,6289.6,152.8,-131.4,6377.4,178.7,-173.4,6416.8,92.2,-177.2,6381.5,147.6,-146.3,6482.0,13.2,-156.7,6432.5,206.2,49.8,6598.4,-74.4,24.0,6415.9,224.7,322.9,6717.0,-174.9,305.5,6399.4,265.6,448.0,6683.1,-212.7,554.1,6319.7,287.0,488.2,6678.0,-254.8,646.4,6300.6,288.1,493.4,6622.4,-227.0,702.3,6307.5,282.1,465.3,6651.0,-218.5,636.6,6287.9,272.4,472.3,6630.4,-189.7,663.9,6293.8
68.5,467.7,6530.2,166.6,453.7,6591.3,-26.4,463.3,6468.3,73.9,241.5,6519.3,351.6,738.0,6530.2,175.7,697.2,6213.1,93.5,-1.1,6481.0,138.3,1172.8,6546.5,106.5,1167.7,6276.9,227.8,1311.7,6456.1,246.2,1316.9,6220.2,251.8,1302.2,6486.3,194.6,1318.0,6193.7,94.1,1225.8,6572.1,67.0,1216.2,6311.6,153.5,-132.8,6392.1,180.2,-174.6,6430.6,93.0,-178.0,6396.3,149.6,-147.4,6495.5,14.4,-157.1,6447.9,211.9,48.5,6608.9,-74.7,25.2,6433.3,231.9,319.8,6726.8,-175.1,306.9,6423.8,270.4,446.6,6695.0,-213.6,558.5,6344.6,289.2,489.0,6692.1,-254.7,649.2,6327.4,288.8,494.7,6638.5,-225.1,705.5,6334.8,283.9,466.2,6664.1,-218.0,640.0,6314.4,273.2,473.3,6644.6,-188.5,667.5,6320.3
69.3,466.7,6538.1,168.9,454.0,6597.5,-26.3,463.6,6478.0,75.1,240.4,6525.1,351.8,738.6,6542.2,174.5,698.2,6223.7,94.7,-1.0,6485.7,135.1,1174.7,6558.6,106.4,1168.3,6288.9,225.3,1318.7,6467.8,244.6,1315.3,6230.5,249.3,1310.1,6500.0,193.8,1315.9,6204.5,91.4,1227.8,6583.3,66.4,1217.9,6323.7,154.0,-134.5,6397.6,181.0,-175.9,6435.4,93.5,-178.5,6402.0,150.4,-148.3,6499.9,15.3,-157.2,6454.1,214.1,47.4,6610.6,-74.9,26.3,6441.0,234.0,316.8,6727.7,-175.0,308.0,6437.5,273.0,444.4,6697.8,-214.3,561.8,6359.0,290.8,488.6,6696.7,-254.3,651.0,6343.3,289.1,495.0,6644.8,-223.5,707.6,6351.1,285.3,466.2,6667.9,-217.4,642.5,6330.2,273.8,473.5,6649.4,-187.4,670.0,6336.1
70.2,466.2,6547.7,170.8,454.4,6605.7,-25.9,464.1,6489.4,76.3,239.5,6533.0,351.4,740.8,6555.2,174.2,699.6,6236.1,95.7,-1.0,6492.7,133.7,1176.9,6571.7,106.2,1169.5,6302.7,224.1,1324.6,6480.6,242.9,1314.8,6242.9,247.7,1316.3,6514.7,192.6,1315.3,6217.3,90.2,1230.0,6595.8,66.1,1219.9,6337.6,154.5,-136.4,6405.3,181.8,-177.4,6442.4,94.1,-179.3,6409.9,151.2,-149.3,6506.6,16.1,-157.4,6462.3,215.0,46.4,6615.0,-75.1,27.2,6450.6,234.7,313.4,6731.4,-175.0,309.0,6452.6,275.0,442.3,6703.5,-215.0,564.8,6374.8,292.6,488.0,6703.8,-254.1,652.8,6360.6,289.7,495.6,6653.5,-222.7,709.9,6368.3,287.3,466.0,6674.4,-216.9,645.1,6347.2,274.9,473.7,6656.7,-186.6,672.7,6352.9
70.8,464.9,6550.9,171.8,453.9,6607.4,-25.6,464.0,6494.2,77.0,238.3,6534.8,347.3,740.3,6561.2,174.2,700.3,6241.4,96.4,-1.0,6493.7,133.6,1177.3,6577.8,105.9,1169.8,6308.8,224.2,1327.3,6486.5,242.2,1314.4,6247.9,247.4,1319.2,6522.0,192.2,1315.1,6222.7,90.0,1230.4,6601.3,65.7,1220.5,6343.8,154.8,-137.7,6407.1,182.3,-178.4,6443.6,94.5,-179.8,6411.7,151.7,-150.0,6507.4,16.8,-157.4,6464.4,215.4,45.5,6613.5,-75.3,27.7,6453.8,234.4,310.8,6728.9,-174.8,309.8,6460.9,277.4,436.6,6702.2,-215.4,566.7,6383.9,295.5,483.6,6703.7,-253.6,653.9,6370.8,291.0,493.1,6654.9,-221.9,711.1,6378.5,290.0,462.2,6673.9,-216.4,646.7,6357.4,277.0,470.9,6657.0,-186.0,674.3,6362.8
71.2,464.9,6564.4,172.0,454.2,6619.9,-25.3,464.7,6509.1,77.7,237.6,6546.6,346.6,742.1,6577.2,174.5,702.1,6256.7,97.2,-1.0,6504.8,135.7,1178.8,6593.9,105.8,1172.4,6325.4,225.3,1330.7,6502.4,242.4,1317.1,6262.9,248.3,1322.8,6539.3,192.4,1318.1,6238.0,91.4,1232.1,6617.1,65.4,1223.2,6360.5,155.2,-138.9,6418.7,183.2,-179.6,6454.6,95.0,-180.6,6423.3,153.1,-151.0,6518.3,17.6,-157.7,6476.5,215.9,44.2,6622.9,-75.4,28.1,6466.9,234.9,308.6,6737.9,-174.2,310.8,6478.0,278.1,438.6,6714.4,-216.1,569.1,6402.4,296.3,485.7,6716.9,-253.8,655.8,6390.1,292.0,494.7,6668.9,-222.0,713.1,6397.4,291.3,464.2,6686.9,-216.3,649.0,6376.7,278.3,472.6,6670.3,-185.9,676.6,6381.9
71.8,464.6,6575.5,173.0,454.1,6629.9,-24.9,465.2,6521.3,78.5,236.9,6555.8,348.9,744.7,6591.1,174.6,703.5,6269.6,97.9,-1.0,6512.7,139.5,1179.3,6608.7,105.6,1174.4,6339.2,226.7,1333.9,6516.3,242.0,1318.9,6275.1,250.3,1326.0,6554.5,191.8,1320.2,6250.5,93.7,1233.3,6631.5,65.1,1225.4,6374.5,155.7,-139.7,6427.0,183.9,-180.4,6462.5,95.5,-181.3,6431.7,154.2,-151.8,6526.0,18.3,-158.0,6485.2,217.2,43.2,6629.2,-75.4,28.4,6477.0,236.3,307.1,6744.1,-173.8,311.7,6491.8,278.7,433.6,6721.5,-216.8,571.0,6417.6,296.9,482.0,6725.0,-254.4,657.4,6406.0,292.3,492.8,6678.3,-222.5,714.8,6413.1,291.4,461.1,6694.7,-216.6,650.8,6392.7,278.3,470.4,6678.8,-186.1,678.3,6397.7
